Hash,Message,Parent Hashes,Is Merge Commit,Modified Files
48d71b95f22ab9141e28c711fc644cde2a69a809,sell with loss (stoploss),['69fcd9c39b6d7362e59173c60a5e6388a7b666eb'],N,['NostalgiaForInfinityNext.py']
1a6ca63d2fb1da07ff4b982c2baa44f9fb60ee3f,sell with loss (stoploss) for pumped pairs,['43bc2b0e927abb0c49b0ed90e7a1ce0fee6e1ee1'],N,['NostalgiaForInfinityNext.py']
22bbed468cd727d6c2decae0bf7b0851f4208440,signal_stoploss_u_b_1 lower threshold,['76e149b9ce16174aa748b8276c26f7eb3122c0fc'],N,['NostalgiaForInfinityNext.py']
99d8bb31e02493c051c1af60fee63156e7aa3cc7,fix symlink inside docker by adding mount point to the actual file.,['3b3962ccfd8bc3c87c2ba6ac0ff2a9b94f2d73e0'],N,['docker-compose.yml']
a0d92719c3ca0617cc1b0a51ff0b3d3a36954b1b,lower target cmf for signal_stoploss_u_1,['25ee1cc15ef44b031da2757b35a62e81c9d64ea2'],N,['NostalgiaForInfinityNext.py']
c961c8be621d831313fbdd77a662ccf04bc1db5c,fix path to hold config file. don't load hold config file on every loop.,['df1b531f2dd327d3b47a7b62e121f0615b4c517f'],N,['NostalgiaForInfinityNext.py']
0ff33dfc7a525cfd5de20e49864b06aa43a9cfc6,cosmetic change to log message,['d4d1bf209db77544bffccdcf2a40ac8320781dad'],N,['NostalgiaForInfinityNext.py']
19402692c7517146bf655743c38cb5b1c9f4de3e,populate_buy_trend conditions buy logic refactor  items and conditions buy logic refactor to avoid unnecessary calculations when any condition is disabled.,['54909acdce87f7f240c7a089ee5e4323f599f0dd'],N,['NostalgiaForInfinityNext.py']
5a3434acf77fcdc3b1707041958874ae7368c94b,fix: add missing buy_dump_protection_60_5,['e8f657df190372e955b6da19fad62357c6e89a06'],N,['NostalgiaForInfinityNext.py']
bc8ec68a39d9df74820faf6b937664ba0e3cd4db,merge branch 'potpot59-fix/buy_dump_protection_60_5',"['e8f657df190372e955b6da19fad62357c6e89a06', '5a3434acf77fcdc3b1707041958874ae7368c94b']",Y,[]
f86f11f9328f4af8c608f025d36a9b191ab957da,refactor: resolve some ide warning,['bc8ec68a39d9df74820faf6b937664ba0e3cd4db'],N,['NostalgiaForInfinityNext.py']
61d456d68ce0d6103d7c9bc5d3fd6ae84ed2314e,merge branch 'refactor/resolve_warning' of git://github.com/potpot59/nostalgiaforinfinity into potpot59-refactor/resolve_warning,"['32ef7d5100f1f3622c89e04daf7b0d05417af71a', 'f86f11f9328f4af8c608f025d36a9b191ab957da']",Y,[]
1fbd9a0b689d2ee840016f1617e9031ccdfc41f9,merge branch 'potpot59-refactor/resolve_warning',"['32ef7d5100f1f3622c89e04daf7b0d05417af71a', '61d456d68ce0d6103d7c9bc5d3fd6ae84ed2314e']",Y,[]
f1d5e67e6cf9a137b4982fb07fc16574cb32eff7,fix typo,['c288bf20bfd7e9c7bb7d8192085b12972cf31600'],N,['NostalgiaForInfinityNext.py']
03b30966a9332a852efc6df6c2ce78c3c922932b,increase the max for signal_stoploss_u_b_1,['4b93c537b5ab470b6d7c761fc942374265afd446'],N,['NostalgiaForInfinityNext.py']
c286dd06f2893dc6a9e9703aeee940e4ebf5bca9,fix docker container backtesting,['b5d5934e8f38df90c87930eca9f9b0d71e3b3a22'],N,['docker\\Dockerfile.custom']
58c0ce9ac3d7676cf4f538317f9f70fbb93bb214,fix docker container backtesting,['c286dd06f2893dc6a9e9703aeee940e4ebf5bca9'],N,['docker\\Dockerfile.custom']
9d8027e6b7dd16d7da8c563f4c0b7d3c58d11ca9,signal_stoploss_u_b_1: add elder ray index check,['dfa637ca6e3c5ed85a9422c415511dfe645e020d'],N,['NostalgiaForInfinityNext.py']
f0e880ec786cf08e38fdc32474baec3d821cee4f,"new sell signal_stoploss_u_b_2: btc downtrend,pair negative,  elder ray index check, cti",['9d8027e6b7dd16d7da8c563f4c0b7d3c58d11ca9'],N,['NostalgiaForInfinityNext.py']
58275417023204fa623e3e7ad4d6bc4a3e88af6f,signal_stoploss_u_b_1: test for max loss,['f0e880ec786cf08e38fdc32474baec3d821cee4f'],N,['NostalgiaForInfinityNext.py']
47c21316bd41f39a0a0d65b0164adf1473570565,signal_stoploss_l_r_u_1: increase recover threshold,['58275417023204fa623e3e7ad4d6bc4a3e88af6f'],N,['NostalgiaForInfinityNext.py']
516ec0313d6fb307643dfaae628e3448970c348d,"signal_stoploss_u_b_1: checks for cti & %r, plus fine tune",['20fa290e88a6f3413db520d8bf60d8c4294ed3fe'],N,['NostalgiaForInfinityNext.py']
c5150153e8506608fdf54b14272fc406231194a9,"signal_stoploss_u_b_2: checks for %r, plus fine tune",['516ec0313d6fb307643dfaae628e3448970c348d'],N,['NostalgiaForInfinityNext.py']
